transaction_id,customer_id,order_id,amount,currency,payment_status,failure_reason,customer_type,previous_successful_payments,previous_failed_payments,previous_recovery_attempts,historical_recovery_rate,customer_lifetime_value,time_since_failure_minutes,payment_method,checkout_abandoned,order_value_segment,ground_truth_best_strategy,ground_truth_recovery_probability,ground_truth_recovered,ground_truth_recovered_amount
txn_syn_0011,cust_syn_319,order_syn_0011,186.24,INR,FAILED,INSUFFICIENT_FUNDS,RETURNING,37,7,1,1.0,40759.86,223,UPI,False,MICRO,PAYMENT_LINK,0.7214,False,0.0
txn_syn_0012,cust_syn_354,order_syn_0012,515.37,INR,FAILED,BANK_SERVER_DOWN,FIRST_TIME,0,0,0,0.0,70.09,2256,NET_BANKING,False,LOW,PAYMENT_LINK,0.2224,False,0.0
txn_syn_0013,cust_syn_342,order_syn_0013,1527.66,INR,FAILED,GATEWAY_REJECTED,FIRST_TIME,0,0,0,0.0,106.87,1865,UPI,False,LOW,PAYMENT_LINK,0.3588,False,0.0
txn_syn_0014,cust_syn_294,order_syn_0014,7731.03,INR,FAILED,INCORRECT_OTP,FIRST_TIME,0,2,0,0.0,289.59,2177,UPI,False,MEDIUM,PAYMENT_LINK,0.3428,False,0.0
txn_syn_0015,cust_syn_340,order_syn_0015,5704.52,INR,FAILED,NETWORK_TIMEOUT,RETURNING,37,3,0,0.67,22122.8,979,NET_BANKING,False,MEDIUM,RETRY,0.6466,False,0.0
txn_syn_0016,cust_syn_109,order_syn_0016,413.11,INR,FAILED,NETWORK_TIMEOUT,RETURNING,37,1,0,0.62,26282.47,1796,UPI,False,MICRO,PAYMENT_LINK,0.6166,True,413.11
txn_syn_0017,cust_syn_936,order_syn_0017,2398.88,INR,FAILED,NETWORK_TIMEOUT,RETURNING,7,2,1,0.0,44706.21,2817,UPI,False,LOW,RETRY,0.5731,True,2398.88
txn_syn_0018,cust_syn_533,order_syn_0018,766.11,INR,ABANDONED,INSUFFICIENT_FUNDS,RETURNING,3,0,0,0.76,32581.44,310,CREDIT_CARD,True,LOW,PAYMENT_LINK,0.7094,True,766.11
txn_syn_0019,cust_syn_540,order_syn_0019,8745.46,INR,FAILED,NETWORK_TIMEOUT,FIRST_TIME,0,0,0,0.0,449.49,423,NET_BANKING,False,MEDIUM,RETRY,0.6899,False,0.0
txn_syn_0020,cust_syn_342,order_syn_0020,4705.01,INR,ABANDONED,CHECKOUT_DROPOFF,ENTERPRISE,12,6,0,0.41,278252.34,1018,CREDIT_CARD,True,MEDIUM,PAYMENT_LINK,0.8061,True,4705.01
txn_syn_0021,cust_syn_936,order_syn_0021,394.44,INR,FAILED,CARD_AUTHENTICATION_FAILED,ENTERPRISE,23,4,1,0.0,18815.36,2629,NET_BANKING,False,MICRO,ALTERNATE_FLOW,0.3666,False,0.0
txn_syn_0022,cust_syn_367,order_syn_0022,490.11,INR,FAILED,NETWORK_TIMEOUT,FIRST_TIME,0,2,0,0.0,132.73,2096,DEBIT_CARD,False,MICRO,PAYMENT_LINK,0.3047,False,0.0
txn_syn_0023,cust_syn_925,order_syn_0023,34925.59,INR,FAILED,BANK_SERVER_DOWN,RETURNING,13,5,3,0.0,47545.98,2079,CREDIT_CARD,False,HIGH,NO_ACTION,0.02,False,0.0
txn_syn_0024,cust_syn_488,order_syn_0024,806.18,INR,FAILED,INSUFFICIENT_FUNDS,RETURNING,12,4,3,0.0,16586.0,2769,CREDIT_CARD,False,LOW,NO_ACTION,0.02,False,0.0
txn_syn_0025,cust_syn_627,order_syn_0025,3021.54,INR,FAILED,BANK_SERVER_DOWN,RETURNING,40,5,0,0.79,38054.63,1948,UPI,False,MEDIUM,PAYMENT_LINK,0.6114,False,0.0
txn_syn_0026,cust_syn_493,order_syn_0026,7929.65,INR,FAILED,INSUFFICIENT_FUNDS,RETURNING,16,2,2,1.0,2266.15,2852,UPI,False,MEDIUM,PAYMENT_LINK,0.5996,False,0.0
txn_syn_0027,cust_syn_783,order_syn_0027,9073.98,INR,FAILED,EXPIRED_CARD,RETURNING,36,5,3,1.0,41867.32,1014,DEBIT_CARD,False,MEDIUM,ALTERNATE_FLOW,0.3074,False,0.0
txn_syn_0028,cust_syn_830,order_syn_0028,2245.23,INR,ABANDONED,CHECKOUT_DROPOFF,FIRST_TIME,0,0,0,0.0,159.85,878,UPI,True,LOW,PAYMENT_LINK,0.4496,True,2245.23
txn_syn_0029,cust_syn_888,order_syn_0029,449.99,INR,FAILED,UPI_APP_UNRESPONSIVE,RETURNING,2,6,3,0.0,47251.6,2238,NET_BANKING,False,MICRO,NO_ACTION,0.02,False,0.0
txn_syn_0030,cust_syn_784,order_syn_0030,9161.45,INR,ABANDONED,CHECKOUT_DROPOFF,RETURNING,26,2,1,0.0,49074.65,345,CREDIT_CARD,True,MEDIUM,PAYMENT_LINK,0.651,True,9161.45
txn_syn_0031,cust_syn_434,order_syn_0031,106911.25,INR,FAILED,EXPIRED_CARD,FIRST_TIME,0,1,0,0.0,139.13,215,DEBIT_CARD,False,ENTERPRISE,ALTERNATE_FLOW,0.5164,False,0.0
txn_syn_0032,cust_syn_353,order_syn_0032,701.51,INR,FAILED,NETWORK_TIMEOUT,FIRST_TIME,0,0,0,0.0,76.19,1512,CREDIT_CARD,False,LOW,PAYMENT_LINK,0.3966,False,0.0
txn_syn_0033,cust_syn_210,order_syn_0033,6644.55,INR,FAILED,UPI_APP_UNRESPONSIVE,RETURNING,20,6,3,0.33,5647.83,2461,UPI,False,MEDIUM,ALTERNATE_FLOW,0.4843,False,0.0
txn_syn_0034,cust_syn_170,order_syn_0034,135803.99,INR,ABANDONED,CHECKOUT_DROPOFF,RETURNING,22,0,0,0.79,7065.87,1785,DEBIT_CARD,True,ENTERPRISE,PAYMENT_LINK,0.7439,False,0.0
txn_syn_0035,cust_syn_576,order_syn_0035,892.47,INR,FAILED,EXPIRED_CARD,RETURNING,38,4,2,0.0,41875.09,1554,UPI,False,LOW,ALTERNATE_FLOW,0.4152,True,892.47
txn_syn_0036,cust_syn_386,order_syn_0036,464.79,INR,FAILED,NETWORK_TIMEOUT,ENTERPRISE,18,8,0,0.61,67024.25,2012,CREDIT_CARD,False,MICRO,RETRY,0.6184,False,0.0
txn_syn_0037,cust_syn_477,order_syn_0037,3759.3,INR,ABANDONED,CHECKOUT_DROPOFF,RETURNING,34,5,3,0.67,18886.91,1294,UPI,True,MEDIUM,PAYMENT_LINK,0.5155,True,3759.3
txn_syn_0038,cust_syn_841,order_syn_0038,3720.11,INR,ABANDONED,BANK_SERVER_DOWN,RETURNING,34,4,0,0.8,16219.83,225,DEBIT_CARD,True,MEDIUM,RETRY,0.7018,False,0.0
txn_syn_0039,cust_syn_687,order_syn_0039,84084.58,INR,FAILED,BANK_SERVER_DOWN,FIRST_TIME,0,0,0,0.0,170.35,2016,NET_BANKING,False,ENTERPRISE,PAYMENT_LINK,0.3851,True,84084.58
txn_syn_0040,cust_syn_354,order_syn_0040,3030.96,INR,FAILED,EXPIRED_CARD,FIRST_TIME,0,0,0,0.0,303.16,2412,CREDIT_CARD,False,MEDIUM,ALTERNATE_FLOW,0.4976,False,0.0
txn_syn_0041,cust_syn_312,order_syn_0041,466.67,INR,ABANDONED,EXPIRED_CARD,RETURNING,17,1,0,0.44,28495.63,1182,CREDIT_CARD,True,MICRO,ALTERNATE_FLOW,0.5869,False,0.0
txn_syn_0042,cust_syn_740,order_syn_0042,43064.42,INR,FAILED,BANK_SERVER_DOWN,RETURNING,13,6,0,0.63,33086.47,2333,UPI,False,HIGH,RETRY,0.517,True,43064.42
txn_syn_0043,cust_syn_652,order_syn_0043,305.03,INR,FAILED,UPI_APP_UNRESPONSIVE,RETURNING,6,0,0,0.74,30978.25,86,CREDIT_CARD,False,MICRO,ALTERNATE_FLOW,0.7207,True,305.03
txn_syn_0044,cust_syn_767,order_syn_0044,1821.09,INR,FAILED,INSUFFICIENT_FUNDS,RETURNING,18,2,2,0.5,32469.67,660,UPI,False,LOW,PAYMENT_LINK,0.7953,True,1821.09
txn_syn_0045,cust_syn_565,order_syn_0045,8783.33,INR,FAILED,BANK_SERVER_DOWN,FIRST_TIME,0,0,0,0.0,57.96,1894,DEBIT_CARD,False,MEDIUM,PAYMENT_LINK,0.3501,False,0.0
txn_syn_0046,cust_syn_308,order_syn_0046,29387.99,INR,ABANDONED,CHECKOUT_DROPOFF,FIRST_TIME,0,0,0,0.0,144.01,982,UPI,True,HIGH,PAYMENT_LINK,0.4539,False,0.0
txn_syn_0047,cust_syn_216,order_syn_0047,850.25,INR,FAILED,NETWORK_TIMEOUT,RETURNING,8,2,1,1.0,26425.86,1573,WALLET,False,LOW,PAYMENT_LINK,0.5068,False,0.0
txn_syn_0048,cust_syn_974,order_syn_0048,9989.12,INR,FAILED,BANK_SERVER_DOWN,RETURNING,33,4,0,0.47,16330.68,1415,CREDIT_CARD,False,MEDIUM,RETRY,0.6163,False,0.0
txn_syn_0049,cust_syn_344,order_syn_0049,25248.86,INR,FAILED,UPI_APP_UNRESPONSIVE,RETURNING,15,6,0,0.49,24702.86,625,WALLET,False,HIGH,ALTERNATE_FLOW,0.5679,False,0.0
txn_syn_0050,cust_syn_550,order_syn_0050,882.84,INR,FAILED,BANK_SERVER_DOWN,FIRST_TIME,0,1,0,0.0,7.67,1087,WALLET,False,LOW,RETRY,0.5646,False,0.0
txn_syn_0051,cust_syn_489,order_syn_0051,3586.12,INR,FAILED,BANK_SERVER_DOWN,VIP,32,8,0,0.67,39806.92,2597,UPI,False,MEDIUM,RETRY,0.5669,True,3586.12
txn_syn_0052,cust_syn_157,order_syn_0052,6092.79,INR,FAILED,BANK_SERVER_DOWN,FIRST_TIME,0,0,0,0.0,72.78,1568,DEBIT_CARD,False,MEDIUM,RETRY,0.4707,True,6092.79
txn_syn_0053,cust_syn_361,order_syn_0053,49505.08,INR,FAILED,CARD_AUTHENTICATION_FAILED,RETURNING,30,4,4,0.25,5545.37,1873,UPI,False,HIGH,ALTERNATE_FLOW,0.4069,False,0.0
txn_syn_0054,cust_syn_688,order_syn_0054,25831.83,INR,FAILED,UPI_APP_UNRESPONSIVE,FIRST_TIME,0,0,0,0.0,10.97,202,UPI,False,HIGH,ALTERNATE_FLOW,0.6562,True,25831.83
txn_syn_0055,cust_syn_921,order_syn_0055,7487.63,INR,FAILED,UPI_APP_UNRESPONSIVE,FIRST_TIME,0,0,0,0.0,310.45,2572,CREDIT_CARD,False,MEDIUM,ALTERNATE_FLOW,0.4958,True,7487.63
txn_syn_0056,cust_syn_402,order_syn_0056,8887.27,INR,FAILED,EXPIRED_CARD,FIRST_TIME,0,0,0,0.0,100.4,675,UPI,False,MEDIUM,ALTERNATE_FLOW,0.6492,True,8887.27
txn_syn_0057,cust_syn_217,order_syn_0057,180581.42,INR,FAILED,INSUFFICIENT_FUNDS,RETURNING,5,2,0,0.82,36762.4,59,DEBIT_CARD,False,ENTERPRISE,PAYMENT_LINK,0.7385,True,180581.42
txn_syn_0058,cust_syn_753,order_syn_0058,23119.92,INR,ABANDONED,CHECKOUT_DROPOFF,ENTERPRISE,7,3,3,0.0,190429.5,2604,CREDIT_CARD,True,HIGH,PAYMENT_LINK,0.6335,False,0.0
txn_syn_0059,cust_syn_411,order_syn_0059,7033.71,INR,FAILED,CARD_AUTHENTICATION_FAILED,VIP,8,1,0,0.83,25535.62,634,DEBIT_CARD,False,MEDIUM,ALTERNATE_FLOW,0.7354,True,7033.71
txn_syn_0060,cust_syn_806,order_syn_0060,13974.09,INR,FAILED,INCORRECT_OTP,FIRST_TIME,0,0,0,0.0,475.28,1471,CREDIT_CARD,False,HIGH,PAYMENT_LINK,0.3978,True,13974.09
txn_syn_0061,cust_syn_317,order_syn_0061,607.12,INR,ABANDONED,CHECKOUT_DROPOFF,RETURNING,39,0,0,0.77,13691.31,850,UPI,True,LOW,PAYMENT_LINK,0.6609,True,607.12
txn_syn_0062,cust_syn_383,order_syn_0062,878.8,INR,FAILED,INSUFFICIENT_FUNDS,ENTERPRISE,10,2,2,0.5,241971.98,2413,UPI,False,LOW,PAYMENT_LINK,0.5263,False,0.0
txn_syn_0063,cust_syn_587,order_syn_0063,652.6,INR,FAILED,TRANSACTION_LIMIT_EXCEEDED,RETURNING,24,8,4,0.0,23696.26,1237,DEBIT_CARD,False,LOW,NO_ACTION,0.02,False,0.0
txn_syn_0064,cust_syn_602,order_syn_0064,660.89,INR,ABANDONED,CHECKOUT_DROPOFF,RETURNING,29,1,0,0.49,9120.02,1562,CREDIT_CARD,True,LOW,PAYMENT_LINK,0.473,False,0.0
txn_syn_0065,cust_syn_973,order_syn_0065,8445.95,INR,ABANDONED,CHECKOUT_DROPOFF,RETURNING,36,3,3,1.0,44628.37,1282,UPI,True,MEDIUM,PAYMENT_LINK,0.7115,True,8445.95
txn_syn_0066,cust_syn_951,order_syn_0066,2170.91,INR,FAILED,CARD_AUTHENTICATION_FAILED,FIRST_TIME,0,0,0,0.0,372.29,2746,UPI,False,LOW,ALTERNATE_FLOW,0.5283,False,0.0
txn_syn_0067,cust_syn_394,order_syn_0067,24004.21,INR,FAILED,BANK_SERVER_DOWN,RETURNING,23,1,0,0.39,25145.09,928,CREDIT_CARD,False,HIGH,RETRY,0.5485,False,0.0
txn_syn_0068,cust_syn_126,order_syn_0068,24040.59,INR,FAILED,BANK_SERVER_DOWN,RETURNING,18,0,0,0.46,38595.66,287,UPI,False,HIGH,RETRY,0.6084,True,24040.59
txn_syn_0069,cust_syn_449,order_syn_0069,33848.35,INR,FAILED,BANK_SERVER_DOWN,FIRST_TIME,0,0,0,0.0,162.19,205,NET_BANKING,False,HIGH,RETRY,0.6161,True,33848.35
txn_syn_0070,cust_syn_873,order_syn_0070,7003.53,INR,FAILED,INSUFFICIENT_FUNDS,RETURNING,23,6,0,0.47,34567.34,33,UPI,False,MEDIUM,PAYMENT_LINK,0.6671,True,7003.53
txn_syn_0071,cust_syn_609,order_syn_0071,42247.2,INR,ABANDONED,UPI_APP_UNRESPONSIVE,RETURNING,12,2,1,0.0,26012.59,78,UPI,True,HIGH,ALTERNATE_FLOW,0.5771,False,0.0
txn_syn_0072,cust_syn_396,order_syn_0072,34724.39,INR,FAILED,TRANSACTION_LIMIT_EXCEEDED,FIRST_TIME,0,0,0,0.0,162.38,435,DEBIT_CARD,False,HIGH,NO_ACTION,0.02,False,0.0
txn_syn_0073,cust_syn_441,order_syn_0073,797.61,INR,FAILED,CARD_AUTHENTICATION_FAILED,RETURNING,5,8,5,0.0,27469.03,606,UPI,False,LOW,NO_ACTION,0.1025,False,0.0
txn_syn_0074,cust_syn_281,order_syn_0074,32579.11,INR,ABANDONED,CHECKOUT_DROPOFF,VIP,32,7,4,1.0,70642.36,2571,CREDIT_CARD,True,HIGH,PAYMENT_LINK,0.7911,True,32579.11
txn_syn_0075,cust_syn_460,order_syn_0075,13069.16,INR,FAILED,UPI_APP_UNRESPONSIVE,RETURNING,20,7,3,0.0,4730.72,2078,NET_BANKING,False,HIGH,NO_ACTION,0.02,False,0.0
txn_syn_0076,cust_syn_685,order_syn_0076,8297.89,INR,FAILED,GATEWAY_REJECTED,RETURNING,21,7,4,0.25,47970.67,2648,DEBIT_CARD,False,MEDIUM,PAYMENT_LINK,0.5555,True,8297.89
txn_syn_0077,cust_syn_481,order_syn_0077,6825.1,INR,FAILED,BANK_SERVER_DOWN,ENTERPRISE,25,6,2,1.0,184191.13,1165,UPI,False,MEDIUM,RETRY,0.5961,True,6825.1
txn_syn_0078,cust_syn_779,order_syn_0078,4527.23,INR,FAILED,CARD_AUTHENTICATION_FAILED,FIRST_TIME,0,0,0,0.0,483.85,1544,CREDIT_CARD,False,MEDIUM,ALTERNATE_FLOW,0.5473,False,0.0
txn_syn_0079,cust_syn_639,order_syn_0079,376.98,INR,FAILED,INSUFFICIENT_FUNDS,FIRST_TIME,0,0,0,0.0,254.24,788,WALLET,False,MICRO,NO_ACTION,0.02,False,0.0
txn_syn_0080,cust_syn_955,order_syn_0080,2388.12,INR,ABANDONED,CHECKOUT_DROPOFF,RETURNING,34,0,0,0.83,31665.51,2560,UPI,True,LOW,PAYMENT_LINK,0.6387,True,2388.12
txn_syn_0081,cust_syn_554,order_syn_0081,9134.87,INR,ABANDONED,CHECKOUT_DROPOFF,RETURNING,29,3,1,1.0,48348.64,2338,UPI,True,MEDIUM,PAYMENT_LINK,0.6166,False,0.0
txn_syn_0082,cust_syn_936,order_syn_0082,531.53,INR,FAILED,CARD_AUTHENTICATION_FAILED,FIRST_TIME,0,0,0,0.0,436.5,2115,UPI,False,LOW,ALTERNATE_FLOW,0.5373,True,531.53
txn_syn_0083,cust_syn_547,order_syn_0083,47217.95,INR,FAILED,INSUFFICIENT_FUNDS,FIRST_TIME,0,1,0,0.0,408.35,1583,UPI,False,HIGH,NO_ACTION,0.02,False,0.0
txn_syn_0084,cust_syn_910,order_syn_0084,8479.16,INR,FAILED,EXPIRED_CARD,FIRST_TIME,0,0,0,0.0,458.7,326,DEBIT_CARD,False,MEDIUM,ALTERNATE_FLOW,0.4561,True,8479.16
txn_syn_0085,cust_syn_894,order_syn_0085,8144.3,INR,FAILED,BANK_SERVER_DOWN,FIRST_TIME,0,0,0,0.0,23.87,2446,CREDIT_CARD,False,MEDIUM,PAYMENT_LINK,0.2699,True,8144.3
txn_syn_0086,cust_syn_461,order_syn_0086,976.19,INR,FAILED,INCORRECT_OTP,FIRST_TIME,0,0,0,0.0,332.19,2081,UPI,False,LOW,PAYMENT_LINK,0.4354,True,976.19
txn_syn_0087,cust_syn_116,order_syn_0087,1932.87,INR,ABANDONED,CHECKOUT_DROPOFF,FIRST_TIME,0,0,0,0.0,120.56,548,CREDIT_CARD,True,LOW,PAYMENT_LINK,0.737,True,1932.87
txn_syn_0088,cust_syn_812,order_syn_0088,280.43,INR,FAILED,TRANSACTION_LIMIT_EXCEEDED,RETURNING,12,2,0,0.73,47293.05,1272,DEBIT_CARD,False,MICRO,PAYMENT_LINK,0.6492,True,280.43
txn_syn_0089,cust_syn_465,order_syn_0089,4599.8,INR,FAILED,CARD_AUTHENTICATION_FAILED,ENTERPRISE,4,5,2,0.0,242210.61,767,UPI,False,MEDIUM,ALTERNATE_FLOW,0.7123,False,0.0
txn_syn_0090,cust_syn_180,order_syn_0090,365.08,INR,ABANDONED,CHECKOUT_DROPOFF,RETURNING,12,8,2,0.5,6924.7,684,UPI,True,MICRO,PAYMENT_LINK,0.6846,False,0.0
txn_syn_0091,cust_syn_381,order_syn_0091,2439.72,INR,FAILED,UPI_APP_UNRESPONSIVE,RETURNING,4,1,1,1.0,26628.13,1796,UPI,False,LOW,ALTERNATE_FLOW,0.5019,False,0.0
txn_syn_0092,cust_syn_719,order_syn_0092,1691.89,INR,FAILED,INSUFFICIENT_FUNDS,FIRST_TIME,0,0,0,0.0,185.48,1143,UPI,False,LOW,NO_ACTION,0.02,False,0.0
txn_syn_0093,cust_syn_368,order_syn_0093,2103.61,INR,FAILED,EXPIRED_CARD,RETURNING,29,3,2,1.0,45990.99,1825,NET_BANKING,False,LOW,ALTERNATE_FLOW,0.4103,False,0.0
txn_syn_0094,cust_syn_663,order_syn_0094,8142.47,INR,FAILED,BANK_SERVER_DOWN,RETURNING,20,2,2,1.0,46511.57,570,CREDIT_CARD,False,MEDIUM,RETRY,0.7122,False,0.0
txn_syn_0095,cust_syn_232,order_syn_0095,5730.74,INR,FAILED,UPI_APP_UNRESPONSIVE,RETURNING,6,1,1,1.0,49980.56,1300,DEBIT_CARD,False,MEDIUM,ALTERNATE_FLOW,0.4607,False,0.0
txn_syn_0096,cust_syn_755,order_syn_0096,3736.82,INR,FAILED,CARD_AUTHENTICATION_FAILED,RETURNING,9,6,4,0.0,41906.76,2127,UPI,False,MEDIUM,NO_ACTION,0.02,False,0.0
txn_syn_0097,cust_syn_410,order_syn_0097,2540.63,INR,FAILED,TRANSACTION_LIMIT_EXCEEDED,RETURNING,6,8,5,0.2,30406.81,2310,CREDIT_CARD,False,MEDIUM,NO_ACTION,0.02,False,0.0
txn_syn_0098,cust_syn_315,order_syn_0098,3718.54,INR,FAILED,UPI_APP_UNRESPONSIVE,RETURNING,27,0,0,0.83,28187.72,1859,UPI,False,MEDIUM,ALTERNATE_FLOW,0.4454,False,0.0
txn_syn_0099,cust_syn_420,order_syn_0099,1955.55,INR,FAILED,BANK_SERVER_DOWN,ENTERPRISE,21,5,3,0.33,231071.52,579,UPI,False,LOW,RETRY,0.7696,False,0.0
txn_syn_0100,cust_syn_263,order_syn_0100,5488.34,INR,FAILED,BANK_SERVER_DOWN,RETURNING,37,5,1,0.0,25916.75,2072,UPI,False,MEDIUM,NO_ACTION,0.02,False,0.0
txn_syn_0101,cust_syn_963,order_syn_0101,8941.22,INR,ABANDONED,CHECKOUT_DROPOFF,RETURNING,31,4,4,0.0,42664.27,1500,DEBIT_CARD,True,MEDIUM,PAYMENT_LINK,0.4793,True,8941.22
txn_syn_0102,cust_syn_561,order_syn_0102,4051.43,INR,ABANDONED,CHECKOUT_DROPOFF,RETURNING,18,1,0,0.89,20907.38,817,NET_BANKING,True,MEDIUM,PAYMENT_LINK,0.6525,False,0.0
txn_syn_0103,cust_syn_631,order_syn_0103,452.66,INR,FAILED,UPI_APP_UNRESPONSIVE,RETURNING,39,8,1,1.0,46705.7,2079,CREDIT_CARD,False,MICRO,ALTERNATE_FLOW,0.6058,True,452.66
txn_syn_0104,cust_syn_789,order_syn_0104,44883.09,INR,FAILED,INCORRECT_OTP,FIRST_TIME,0,0,0,0.0,153.84,2687,CREDIT_CARD,False,HIGH,PAYMENT_LINK,0.34,True,44883.09
txn_syn_0105,cust_syn_744,order_syn_0105,14395.71,INR,FAILED,NETWORK_TIMEOUT,RETURNING,25,2,2,0.0,3515.38,2830,UPI,False,HIGH,PAYMENT_LINK,0.6136,False,0.0
txn_syn_0106,cust_syn_822,order_syn_0106,5728.77,INR,FAILED,BANK_SERVER_DOWN,FIRST_TIME,0,0,0,0.0,162.52,1404,UPI,False,MEDIUM,RETRY,0.5529,True,5728.77
txn_syn_0107,cust_syn_595,order_syn_0107,974.62,INR,FAILED,NETWORK_TIMEOUT,FIRST_TIME,0,0,0,0.0,279.04,2004,UPI,False,LOW,PAYMENT_LINK,0.2656,True,974.62
txn_syn_0108,cust_syn_792,order_syn_0108,60668.97,INR,ABANDONED,CHECKOUT_DROPOFF,RETURNING,26,5,1,1.0,4019.19,1964,NET_BANKING,True,ENTERPRISE,PAYMENT_LINK,0.6052,True,60668.97
txn_syn_0109,cust_syn_858,order_syn_0109,7455.51,INR,ABANDONED,UPI_APP_UNRESPONSIVE,RETURNING,16,0,0,0.68,4519.57,2256,UPI,True,MEDIUM,ALTERNATE_FLOW,0.4986,False,0.0
txn_syn_0110,cust_syn_874,order_syn_0110,5815.84,INR,FAILED,CARD_AUTHENTICATION_FAILED,VIP,21,4,0,0.84,18882.34,719,DEBIT_CARD,False,MEDIUM,ALTERNATE_FLOW,0.7107,False,0.0
txn_syn_0111,cust_syn_290,order_syn_0111,23401.35,INR,ABANDONED,CHECKOUT_DROPOFF,ENTERPRISE,19,0,0,0.48,185601.49,2149,CREDIT_CARD,True,HIGH,PAYMENT_LINK,0.6463,True,23401.35
txn_syn_0112,cust_syn_266,order_syn_0112,7814.79,INR,FAILED,UPI_APP_UNRESPONSIVE,RETURNING,17,2,0,0.74,39956.85,1753,UPI,False,MEDIUM,ALTERNATE_FLOW,0.4229,True,7814.79
txn_syn_0113,cust_syn_354,order_syn_0113,395.66,INR,FAILED,INCORRECT_OTP,FIRST_TIME,0,0,0,0.0,223.37,1474,CREDIT_CARD,False,MICRO,PAYMENT_LINK,0.2973,False,0.0
txn_syn_0114,cust_syn_820,order_syn_0114,114554.56,INR,FAILED,GATEWAY_REJECTED,RETURNING,8,4,2,1.0,12600.76,2877,CREDIT_CARD,False,ENTERPRISE,PAYMENT_LINK,0.5924,True,114554.56
txn_syn_0115,cust_syn_872,order_syn_0115,1555.76,INR,FAILED,EXPIRED_CARD,RETURNING,6,8,3,0.67,5748.93,615,CREDIT_CARD,False,LOW,ALTERNATE_FLOW,0.7057,True,1555.76
txn_syn_0116,cust_syn_622,order_syn_0116,515.14,INR,ABANDONED,CHECKOUT_DROPOFF,RETURNING,4,7,1,1.0,23926.33,1623,DEBIT_CARD,True,LOW,PAYMENT_LINK,0.5917,False,0.0
txn_syn_0117,cust_syn_654,order_syn_0117,676.37,INR,FAILED,CARD_AUTHENTICATION_FAILED,VIP,5,7,0,0.47,31917.31,1568,DEBIT_CARD,False,LOW,PAYMENT_LINK,0.8314,False,0.0
txn_syn_0118,cust_syn_236,order_syn_0118,979.85,INR,ABANDONED,CHECKOUT_DROPOFF,RETURNING,23,1,0,0.9,20866.81,1224,DEBIT_CARD,True,LOW,PAYMENT_LINK,0.5371,True,979.85
txn_syn_0119,cust_syn_258,order_syn_0119,827.53,INR,ABANDONED,CHECKOUT_DROPOFF,FIRST_TIME,0,1,0,0.0,362.51,66,UPI,True,LOW,PAYMENT_LINK,0.7113,False,0.0
